Index,All Students,Minority,Economically Disadvantaged,Female,Male,Bil/ESL,Gifted,Special Ed,Title1,At Risk,Immigrant,Migrant,Dyslexic,Homeless,Foster Care,District,Year
0,55.6,0.857142857,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0,0,0,1903,13
1,50,0.857142857,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0,0,0,1907,13
2,26.3,0.857142857,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0,0,0,1908,13
3,11.6,0.766666667,0.210084034,0.521008403,0.478991597,0.177304965,0.168067227,0.166666667,0.833333333,0.196581197,0.177304965,0.166666667,0,0,0,2901,13
4,60,0.76142132,0.337837838,0.47761194,0.52238806,0.274725275,0.3125,0.25,0.75,0.277777778,0.25,0.25,0,0,0,3902,13
5,44.6,0.61038961,0.254545455,0.540540541,0.459459459,0.102040816,0.477272727,0.103305785,0.102040816,0.107476636,0.10460251,0.1,0,0,0,3903,13
6,6.8,0.857142857,0.5,0.666666667,0.333333333,0.333333333,0.333333333,0.333333333,0.666666667,0.333333333,0.333333333,0.333333333,0,0,0,3905,13
7,5.4,0.75,0.333333333,0.5,0.5,0.333333333,0.333333333,0.333333333,0.666666667,0.333333333,0.333333333,0.333333333,0,0,0,3907,13
8,55.6,0.755555556,0.342465753,0.576271186,0.423728814,0.25,0.333333333,0.25,0.75,0.308641975,0.25,0.25,0,0,0,4901,13
9,43.5,0.892857143,0.5,0.523809524,0.476190476,0.5,0.581395349,0.5,0.5,0.5,0.5,0.5,0,0,0,5901,13
10,62.5,0.75,0.462962963,0.456521739,0.543478261,0.333333333,0.5,0.333333333,0.333333333,0.333333333,0.333333333,0.333333333,0,0,0,5902,13
11,25,0.857142857,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0,0,0,7902,13
12,29.6,0.859550562,0.463414634,0.634146341,0.365853659,0.333333333,0.146341463,0.333333333,0.333333333,0.396825397,0.333333333,0.333333333,0,0,0,7904,13
13,12.6,0.785407725,0.280898876,0.537037037,0.462962963,0.221238938,0.215909091,0.223214286,0.8,0.255102041,0.225225225,0.2,0,0,0,7905,13
14,68.7,0.785340314,0.384615385,0.489361702,0.510638298,0.333333333,0.480769231,0.333333333,0.333333333,0.357142857,0.333333333,0.333333333,0,0,0,8901,13
15,43.4,0.713004484,0.257425743,0.564356436,0.435643564,0.166666667,0.41322314,0.166666667,0.166666667,0.217391304,0.166666667,0.166666667,0,0,0,8902,13
16,30,0.857142857,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0,0,0,10901,13
17,50,0.847457627,0.490196078,0.4,0.6,0.333333333,0.566666667,0.333333333,0.333333333,0.333333333,0.333333333,0.333333333,0,0,0,10902,13
18,43.7,0.676229508,0.355555556,0.540740741,0.459259259,0.157232704,0.42962963,0.157232704,0.142857143,0.383458647,0.159235669,0.158227848,0,0,0,11901,13
19,20.5,0.69924812,0.465408805,0.610062893,0.389937107,0.125,0.169811321,0.125,0.125,0.220125786,0.125,0.139664804,0,0,0,11902,13
20,24.1,0.877192982,0.5,0.5,0.5,0.333333333,0.5,0.333333333,0.666666667,0.5,0.333333333,0.333333333,0,0,0,11904,13
21,23,0.903614458,0.520833333,0.479166667,0.520833333,0.333333333,0.431818182,0.333333333,0.666666667,0.409836066,0.333333333,0.333333333,0,0,0,13901,13
22,6.7,0.857142857,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0,0,0,13905,13
23,37.9,0.867052023,0.333333333,0.595238095,0.404761905,0.333333333,0.333333333,0.333333333,0.333333333,0.555555556,0.333333333,0.333333333,0,0,0,14804,13
24,52.8,0.842696629,0.480769231,0.533333333,0.466666667,0.333333333,0.568181818,0.333333333,0.666666667,0.333333333,0.333333333,0.333333333,0,0,0,14901,13
25,66.2,0.547468354,0.167420814,0.533936652,0.466063348,0.102040816,0.28959276,0.102459016,0.1,0.054794521,0.102880658,0.1,0,0,0,14903,13
26,27.4,0.743062693,0.375,0.55819209,0.44180791,0.027777778,0.195749441,0.027777778,0.027777778,0.283125708,0.027777778,0.027027027,0,0,0,14906,13
27,12,0.857142857,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0,0,0,14907,13
28,64.7,0.75,0.304878049,0.524590164,0.475409836,0.25,0.328947368,0.304878049,0.25,0.3125,0.25,0.25,0,0,0,14908,13
29,28,0.675276753,0.36627907,0.5625,0.4375,0.126903553,0.395348837,0.126903553,0.12755102,0.23255814,0.126903553,0.125,0,0,0,14909,13
30,25.7,0.75,0.333333333,0.568181818,0.431818182,0.333333333,0.5,0.333333333,0.333333333,0.333333333,0.333333333,0.333333333,0,0,0,14910,13
31,40,0.857142857,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0,0,0,15806,13
32,100,0.857142857,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0,0,0,15807,13
33,37.5,0.879227053,0.662162162,0.612903226,0.387096774,0.290697674,0.25,0.25,0.75,0.322580645,0.25,0.25,0,0,0,15826,13
34,44.4,0.928571429,0.487179487,0.512820513,0.487179487,0.333333333,0.438596491,0.396825397,0.666666667,0.423728814,0.333333333,0.333333333,0,0,0,15827,13
35,38.1,0.878640777,0.52173913,0.536231884,0.463768116,0.268817204,0.316455696,0.25,0.75,0.304878049,0.25,0.25,0,0,0,15828,13
36,28.3,0.880952381,0.583333333,0.493150685,0.506849315,0.268817204,0.268817204,0.260416667,0.75,0.166666667,0.263157895,0.25,0,0,0,15830,13
37,100,0.857142857,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0,0,0,15831,13
38,82.4,0.857142857,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0,0,0,15833,13
39,74,0.474074074,0.082508251,0.523972603,0.476027397,0.076923077,0.510273973,0.076923077,0.076923077,0.065517241,0.079617834,0.076923077,0,0,0,15901,13
40,9.2,0.954545455,0.713235294,0.511002445,0.488997555,0.057736721,0.259803922,0.05800464,0.942263279,0.356294537,0.058275058,0.057736721,0,0,0,15904,13
41,7,0.950396825,0.932795699,0.536111111,0.463888889,0.050420168,0.240896359,0.066666667,0.9375,0.536516854,0.066489362,0.0625,0,0,0,15905,13
42,54.3,0.76142132,0.25,0.653333333,0.346666667,0.2,0.280898876,0.2,0.2,0.268817204,0.25,0.2,0,0,0,15906,13
